"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"BEL","Belgium","W","Women","TOTAL","Total","2041","2041",6272385,,
"BEL","Belgium","W","Women","TOTAL","Total","2042","2042",6287924,,
"BEL","Belgium","W","Women","TOTAL","Total","2043","2043",6302756,,
"BEL","Belgium","W","Women","TOTAL","Total","2044","2044",6316844,,
"BEL","Belgium","W","Women","TOTAL","Total","2045","2045",6330174,,
"BEL","Belgium","M","Men","TOTAL","Total","2024","2024",5791948,,
"BEL","Belgium","M","Men","TOTAL","Total","2025","2025",5813185,,
"BEL","Belgium","M","Men","TOTAL","Total","2026","2026",5833478,,
"BEL","Belgium","M","Men","TOTAL","Total","2027","2027",5852867,,
"BEL","Belgium","M","Men","TOTAL","Total","2028","2028",5871863,,
"BEL","Belgium","M","Men","TOTAL","Total","2029","2029",5890814,,
"BEL","Belgium","M","Men","TOTAL","Total","2030","2030",5909903,,
"BEL","Belgium","M","Men","TOTAL","Total","2031","2031",5929229,,
"BEL","Belgium","M","Men","TOTAL","Total","2032","2032",5948659,,
"BEL","Belgium","M","Men","TOTAL","Total","2033","2033",5968006,,
"BEL","Belgium","M","Men","TOTAL","Total","2034","2034",5987171,,
"BEL","Belgium","M","Men","TOTAL","Total","2035","2035",6006108,,
"BEL","Belgium","M","Men","TOTAL","Total","2036","2036",6024815,,
"BEL","Belgium","M","Men","TOTAL","Total","2037","2037",6043297,,
"BEL","Belgium","M","Men","TOTAL","Total","2038","2038",6061513,,
"BEL","Belgium","M","Men","TOTAL","Total","2039","2039",6079416,,
"BEL","Belgium","M","Men","TOTAL","Total","2040","2040",6096988,,
"BEL","Belgium","M","Men","TOTAL","Total","2041","2041",6114173,,
"BEL","Belgium","M","Men","TOTAL","Total","2042","2042",6130944,,
"BEL","Belgium","M","Men","TOTAL","Total","2043","2043",6147222,,
"BEL","Belgium","M","Men","TOTAL","Total","2044","2044",6162980,,
"BEL","Belgium","M","Men","TOTAL","Total","2045","2045",6178199,,
"BEL","Belgium","T","Total","TOTAL","Total","2024","2024",11752914,,
"BEL","Belgium","T","Total","TOTAL","Total","2025","2025",11787558,,
"BEL","Belgium","T","Total","TOTAL","Total","2026","2026",11827893,,
"BEL","Belgium","T","Total","TOTAL","Total","2027","2027",11866576,,
"BEL","Belgium","T","Total","TOTAL","Total","2028","2028",11904533,,
"BEL","Belgium","T","Total","TOTAL","Total","2029","2029",11942432,,
"BEL","Belgium","T","Total","TOTAL","Total","2030","2030",11980641,,
"BEL","Belgium","T","Total","TOTAL","Total","2031","2031",12019336,,
"BEL","Belgium","T","Total","TOTAL","Total","2032","2032",12058272,,
"BEL","Belgium","T","Total","TOTAL","Total","2033","2033",12097043,,
"BEL","Belgium","T","Total","TOTAL","Total","2034","2034",12135434,,
"BEL","Belgium","T","Total","TOTAL","Total","2035","2035",12173341,,
"BEL","Belgium","T","Total","TOTAL","Total","2036","2036",12210694,,
"BEL","Belgium","T","Total","TOTAL","Total","2037","2037",12247462,,
"BEL","Belgium","T","Total","TOTAL","Total","2038","2038",12283532,,
"BEL","Belgium","T","Total","TOTAL","Total","2039","2039",12318799,,
"BEL","Belgium","T","Total","TOTAL","Total","2040","2040",12353181,,
"BEL","Belgium","T","Total","TOTAL","Total","2041","2041",12386558,,
"BEL","Belgium","T","Total","TOTAL","Total","2042","2042",12418868,,
"BEL","Belgium","T","Total","TOTAL","Total","2043","2043",12449978,,
"BEL","Belgium","T","Total","TOTAL","Total","2044","2044",12479824,,
"BEL","Belgium","T","Total","TOTAL","Total","2045","2045",12508373,,
